SpeciesID	SRR13378546	SRR13378550	SRR13378552	SRR13378554	SRR13378555	SRR13378556	SRR13378560	SRR13378562	SRR13378563	SRR13378564	SRR13378565	SRR13378566	SRR13378567	SRR13378569	SRR13378571	SRR13378573	SRR13378574	SRR13378577	SRR13378578	SRR13378579	SRR13378580	SRR13378581	SRR13378582	SRR13378583	SRR13378584	SRR13378585	SRR13378586	SRR13378588	SRR13378589	SRR13378590	SRR13378591	SRR13378592	SRR13378594	SRR13378595	SRR13378597	SRR13378599	SRR13378600	SRR13378601	SRR13378602	SRR13378603	SRR13378605	SRR13378606	SRR13378607	SRR13378608	SRR13378609	SRR13378610	SRR13378614	SRR13378616	SRR13378618	SRR13378621	SRR13378622	SRR13378623	SRR13378624	SRR13378625	SRR13378628	SRR13378630	SRR13378631	SRR13378632	SRR13378633
S56	0	0	3680	5533	52574	285801	0	0	78567	46997	0	7850	252	208010	788	53564	247928	76008	42621	0	443596	0	84356	39892	166506	28689	89465	3273	8411	33096	26302	105890	12532	3141	74786	0	10553	0	1410	7709	19713	2478	8332	0	22031	23948	30455	53564	1797	0	15169	0	9606	4049	0	5120	0	0	2788
S57	0	0	51481	16543	13276	13089	62548	55858	28346	488	0	4311	2150	111585	8733	49129	49917	54434	68874	3296	95935	73398	37159	161265	12311	157552	205695	13017	97466	17542	67342	71921	2784	1010	186297	16201	7588	0	8447	22960	53791	8033	15605	0	60677	20164	270375	78138	479	2842	12304	256911	0	1966	3642	686	682	10459	55365
S58	0	0	8757	33407	21161	17265	0	2686	267526	0	0	6010	113471	126865	3574	106027	216238	39181	0	838	10465	0	8304	30899	66580	33767	152707	9920	36998	504	70777	139977	2713	0	0	0	20576	0	4559	13596	73043	2869	2632	0	17499	27992	34442	1050	689	0	1547	0	5616	16370	4194	38073	36888	1100	22035
S59	44645	2302980	45699	2504	0	41148	0	315318	63673	135052	95568	6594	34817	6503	0	4470	141181	133815	27913	2016	19139	75543	14939	35237	139689	6930	1006	2590	101022	24180	5973	203175	9418	4906	0	242027	1200	17604	42259	20629	10164	31171	216339	0	41978	1609	14929	45820	70030	0	3163	161142	0	71935	37948	3079	1519	5484	213216
S60	0	0	521	156039	83916	1928650	0	173209	48859	0	0	11052	167371	14307	9061	348068	16284	63195	25579	2862	395321	581109	96242	127742	762027	250	409450	161920	147250	3417	75989	338523	95335	8010	2295	0	3483	144	0	119416	9152	5712	8811	10226	247255	25208	228	60076	8739	6666	45	111208	0	17415	5826	1323	5239	1511	15411
S61	1938	0	0	80187	17989	12047	0	0	25051	0	0	10178	0	7289	0	0	11856	12897	0	0	53287	128600	1595	0	103827	0	283676	0	40627	8430	773	68787	0	36635	0	0	0	0	1140	0	5671	6679	0	0	0	0	0	25897	384	0	0	0	884	328	20402	0	392	0	0
S62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5291	0	0	0	0	9996	0	0	0	0	0	1217	0	0	0	17203	12071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72816	0	0	0	0	0	0	0	0	0
S63	0	0	127097	73716	2299	74656	0	6345	1348	489638	846276	276645	315284	1209081	0	98161	132799	65760	9492	613	27029	7539	7599	370128	952303	247202	269581	41082	128993	286	56175	378734	13443	405494	0	95605	141932	1967	911	1998	5796	1555	287	767	11567	9761	160412	23461	874	228	37797	1952	29137	34586	85334	31750	2663	3996	519
S64	756	0	0	0	0	0	0	4487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S65	42920	1628599	0	0	0	0	127	21397	0	0	149947	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	15145	2510	0	0	456	0	1244	0	0	609	0	0	0	0	32811	0	0	58	2724	0	0	0	5529	0	1839	0
S66	16842	0	0	0	0	1652	5731	74192	0	290	1538	10423	1939	0	651	0	3067	0	1749	0	0	0	0	0	0	0	0	0	0	570	0	0	0	9403	24271	10664	0	53560	0	0	0	0	605	0	7748	0	0	16729	0	0	0	517	0	0	0	0	0	0	66
S67	584	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0	0	0
S68	4031	688783	14738	0	0	23502	7453	60667	17456	2018	32621	20135	3137	0	5541	0	74748	13534	0	22443	16420	4787	0	4524	4583	3835	0	0	993	44654	0	3489	0	124053	45734	242933	0	36385	0	6891	11815	0	19128	0	8111	0	396	47975	0	1343	0	73172	0	0	43927	19124	1714	2341	23029
S69	0	9101	0	0	0	0	0	5040	0	0	0	0	0	0	0	0	1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	2084	0	12664	0	23034	0	0	0	0	0	13567	0	0	0	0	0	0	0	2463	0	0	1062	0	0	0	298
S70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3350	0	0	0	0	0	0	1955	0	0	0	0
S71	3290	0	0	0	0	4113	0	460832	0	425	27831	0	0	0	0	0	81881	0	0	0	4916	0	0	0	11983	0	0	0	59	0	0	11886	0	0	25255	115068	0	78587	0	117	1743	0	0	0	1020	0	0	0	0	0	0	5827	0	0	0	0	0	0	0
